Number,year,totalprecip,
1,1/1/50,323.4,1
2,1/1/51,289.4,2
3,1/1/53,248.8,
4,1/1/54,215.6,3
5,1/1/55,240.7,4
6,1/1/56,269.7,
7,1/1/57,231,5
8,1/1/59,224.4,6
9,1/1/61,287.7,7
10,1/1/62,237.4,8
11,1/1/64,257.5,9
12,1/1/65,294.2,10
13,1/1/66,252.5,11
14,1/1/67,279.9,
15,1/1/68,237.2,12
16,1/1/69,272.6,
17,1/1/71,324.5,13
18,1/1/73,261.7,14
19,1/1/74,247.2,15
20,1/1/75,222.4,16
21,1/1/78,254.9,
22,1/1/79,304.6,17
23,1/1/80,275,
24,1/1/81,276.3,18
25,1/1/82,282,
26,1/1/83,224.5,19
27,1/1/84,257.6,20
28,1/1/86,216.5,21
29,1/1/89,296.3,
30,1/1/90,229.6,