Date,Month,PRCP_mm,PRCP_cm,HistoricalTreatment,VolumeinMesocosm_Historical_mL,IncreasedMagnitude_mm,IncreasedMagnitude_cm,VolumeinMesocosm_IncreasedMagnitude_mL,DecreasedFreqIncreasedMag_mm,DecreasedFreqIncreasedMag_cm,VolumeinMesocosm_DecreasedFreqIncreasedMag
5/1/59,May,0,0,0,0,0,0,0,0,0,
5/2/59,May,0,0,0,0,0,0,0,0,0,
5/3/59,May,0,0,0,0,0,0,0,0,0,
5/4/59,May,4.6,0.46,4.6,2369.1771,5.06,0.506,2606.09481,5.61,0.561,
5/5/59,May,0,0,0,0,0,0,0,0,0,
5/6/59,May,0,0,0,0,0,0,0,0,0,
5/7/59,May,0,0,0,0,0,0,0,0,0,
5/8/59,May,0,0,0,0,0,0,0,0,0,
5/9/59,May,0,0,0,0,0,0,0,0,0,
5/10/59,May,0.5,0.05,0.5,257.51925,0.55,0.055,283.271175,0,0,
5/11/59,May,0,0,0,0,0,0,0,0,0,
5/12/59,May,0,0,0,0,0,0,0,0,0,
5/13/59,May,16,1.6,16,8240.616,17.6,1.76,9064.6776,29.92,2.992,
5/14/59,May,11.2,1.12,11.2,5768.4312,12.32,1.232,6345.27432,0,0,
5/15/59,May,0,0,0,0,0,0,0,0,0,
5/16/59,May,0,0,0,0,0,0,0,0,0,
5/17/59,May,0,0,0,0,0,0,0,0,0,
5/18/59,May,1.5,0.15,1.5,772.55775,1.65,0.165,849.813525,8.91,0.891,
5/19/59,May,0,0,0,0,0,0,0,0,0,
5/20/59,May,0,0,0,0,0,0,0,0,0,
5/21/59,May,6.6,0.66,6.6,3399.2541,7.26,0.726,3739.17951,0,0,
5/22/59,May,0,0,0,0,0,0,0,0,0,
5/23/59,May,0,0,0,0,0,0,0,0,0,
5/24/59,May,0,0,0,0,0,0,0,0,0,
5/25/59,May,0,0,0,0,0,0,0,0,0,
5/26/59,May,2.8,0.28,2.8,1442.1078,3.08,0.308,1586.31858,3.63,0.363,
5/27/59,May,0.5,0.05,0.5,257.51925,0.55,0.055,283.271175,0,0,
5/28/59,May,0.3,0.03,0.3,154.51155,0.33,0.033,169.962705,13.42,1.342,
5/29/59,May,0,0,0,0,0,0,0,0,0,
5/30/59,May,0,0,0,0,0,0,0,0,0,
5/31/59,May,11.9,1.19,11.9,6128.95815,13.09,1.309,6741.853965,0,0,